,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
99%,-0.5154318936820382,-0.5922996874400533,-0.11533589789503698,-0.5823803929844202,-0.22589152564863857,0.04524817533158363,0.2123855836830463,0.6227617661109843,0.8262095802737258,0.9662754863768935,1.0,0.7230755996295032,0.24471456739635186,0.17238368025925788,-0.5484800847141765,-0.5506402405188511,-0.5920996236708849,-0.25515664276437344,-0.18324562817776882,0.16908685637063722,0.7018058915128595,-0.4262938775637989,-0.19691427336961886,-0.6556705173182149,-0.44465605994594215
99.9%,0.10609765680618084,0.047315478858888455,0.04246216440846762,-0.44618695738752745,-0.2704611928200171,-0.14201925536736543,-0.07667737549316703,0.2201322311299723,0.3966599816297107,0.6125260567256112,0.7230755996295032,1.0,0.7739242472579404,0.6705100746365851,-0.48517584187834656,-0.4762970197373018,-0.4407529515762517,-0.3626318317954602,-0.41712086349946237,0.668985634492481,0.13509224323228217,0.1307391723521419,0.3259251102651211,-0.061732515175967964,0.06711995664758534
99.99%,0.6150635946684582,0.5642712190421845,0.0988217801306572,-0.019605398568348864,-0.06647893124859892,-0.1034256818797208,-0.1335540001743375,-0.09471842804112217,-0.03553328188169768,0.08554810898916411,0.24471456739635186,0.7739242472579404,1.0,0.9745312468999731,0.06867960475030976,0.066260588405432,-0.0025838415612764874,-0.054052313720961,-0.554434270092578,0.9743207109943345,-0.4638331308905297,0.4941824258497426,0.6947693726936242,0.4544292390225145,0.564001603338088
100%,0.6708576124971682,0.6059036126363309,0.15253094915782978,0.04647738493435845,-0.03570966102954653,-0.09036630152857208,-0.11646663840804257,-0.13312946125416775,-0.09020796387024901,0.008434260221724912,0.17238368025925788,0.6705100746365851,0.9745312468999731,1.0,0.2596351187064473,0.2618910734640888,0.06477973859989584,0.033940276664826914,-0.564458180200029,0.9999567749154651,-0.5466614345300137,0.5090946288638174,0.7341151645038202,0.49769586503972385,0.6197622040918819
Total Request Count,0.49575117383752487,0.4712826565327612,0.08392966760219303,0.48992607205234706,0.22096450349739613,0.06690827689270072,0.006825557972115853,-0.3258071580376974,-0.4493491577430872,-0.6017751138412581,-0.5484800847141765,-0.48517584187834656,0.06867960475030976,0.2596351187064473,1.0,0.9917055243869503,0.5062519074817236,0.5034771217418456,-0.10149306500874346,0.26807884237247703,-0.6235558811431122,0.24526488497457438,0.31970703671672135,0.44708282388813175,0.5458647006864203
Total Failure Count,0.5039520088584328,0.47892940443789117,0.14000047686583816,0.4881108132668164,0.21806874705315366,0.060713643126856266,0.005925966477881043,-0.3346906938079482,-0.45793422709284304,-0.6034183546865729,-0.5506402405188511,-0.4762970197373018,0.066260588405432,0.2618910734640888,0.9917055243869503,1.0,0.5046541916013942,0.4951452656701595,-0.10225492173985341,0.2703172911046786,-0.6284596563579846,0.2557434097592138,0.3236302675753611,0.45866841424793403,0.5374763448634262
Total Median Response Time,0.29341031982605964,0.33141940693122857,0.03167460094069815,0.9987653837582056,0.8641901968088355,0.6653146035869214,0.5172735005606212,0.07568406249371704,-0.23868964350746302,-0.5413865645527053,-0.5920996236708849,-0.4407529515762517,-0.0025838415612764874,0.06477973859989584,0.5062519074817236,0.5046541916013942,1.0,0.8752875514244732,-0.0663202046486759,0.14259799816225388,-0.4331799587319147,0.15650339411452885,0.12628157144729252,0.47042708314453696,0.31503232975755135
Total Average Response Time,-0.003420335411621278,0.007072056093031596,-0.06300434739153125,0.8767468028224514,0.8996050331704761,0.8422482779716617,0.7864855881533181,0.4558852174717475,0.16242607671705864,-0.19148657476372533,-0.25515664276437344,-0.3626318317954602,-0.054052313720961,0.033940276664826914,0.5034771217418456,0.4951452656701595,0.8752875514244732,1.0,-0.07401421791638212,0.14136477729325062,-0.11155431133516774,-0.15199575220186065,-0.04907439970514279,0.13845606968469223,0.10709002032497013
Total Min Response Time,-0.27378323726747184,-0.2361792649876707,-0.05940508795574224,-0.08201858487411517,-0.08331127544352204,-0.080602243061111,-0.0739387534474026,-0.06605204432686654,-0.07116348680106643,-0.10211843576414499,-0.18324562817776882,-0.41712086349946237,-0.554434270092578,-0.564458180200029,-0.10149306500874346,-0.10225492173985341,-0.0663202046486759,-0.07401421791638212,1.0,-0.4480734427332146,0.29165625462655204,-0.1958791800629929,-0.2908857104519399,-0.1922855124331595,-0.2434247295263307
Total Max Response Time,0.6897740672402195,0.6179091146690795,0.15780332229525706,0.04421954848618193,-0.03992320190148304,-0.09495670806600898,-0.1215392104385788,-0.13809263844860808,-0.09473165850726967,0.004777768211064699,0.16908685637063722,0.668985634492481,0.9743207109943345,0.9999567749154651,0.26807884237247703,0.2703172911046786,0.14259799816225388,0.14136477729325062,-0.4480734427332146,1.0,-0.40194459809792443,0.520500289760079,0.7437078737717271,0.5092218576096703,0.631851842951455
