,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
99%,-0.3142141266462453,-0.3289955208724135,0.6618747151303331,-0.5195261076607373,-0.273349227762273,0.04966785296381301,0.26802341834603327,0.7516454213518595,0.8612115032793192,0.9349940020242463,1.0,0.7921542797627729,0.26918984678386676,0.26918984678386676,-0.6333332014821225,-0.09478526131318704,-0.5017275841353108,-0.17661774747396483,-0.36141140487689305,0.26734146024877437,0.43451032769537673,-0.42831602937090474,-0.26872028077746873,-0.42421035600618096,-0.3759923843097708
99.9%,0.2050104040895175,0.1972223701588491,0.5823908285902997,-0.33512310154420866,-0.10263902458617888,0.052073714433686205,0.1860806725986529,0.5548665236620652,0.6244905155351715,0.7536980565951563,0.7921542797627729,1.0,0.7183838802394726,0.7183838802394726,-0.2514303658813409,0.43851419279330706,-0.3068379722195816,-0.09362882023457186,-0.5768894699039775,0.7177656984493993,-0.09251666012751857,0.05677825209372218,0.25482213618418953,0.03472079248294289,0.09400245804171926
99.99%,0.790256398026748,0.7215208579313503,0.0901114173729091,0.14116758567588855,0.26800763361003543,0.2210183261841727,0.21710090559077821,0.257114389313252,0.19551312337334684,0.23977267560180862,0.26918984678386676,0.7183838802394726,1.0,1.0,0.43568863016965,0.86409753615901,0.17469632414810235,0.23401005593584287,-0.7051386621550292,0.9999483812107013,-0.7362028359866198,0.6543289322905189,0.7369166931061211,0.5752563095604948,0.6769741569359827
100%,0.790256398026748,0.7215208579313503,0.0901114173729091,0.14116758567588855,0.26800763361003543,0.2210183261841727,0.21710090559077821,0.257114389313252,0.19551312337334684,0.23977267560180862,0.26918984678386676,0.7183838802394726,1.0,1.0,0.43568863016965,0.86409753615901,0.17469632414810235,0.23401005593584287,-0.7051386621550292,0.9999483812107013,-0.7362028359866198,0.6543289322905189,0.7369166931061211,0.5752563095604948,0.6769741569359827
Total Request Count,0.7216091493602388,0.5988297073356124,-0.4606384970398169,0.7935429327758612,0.7043088660912025,0.44517117537126044,0.25477928342133527,-0.2268630096342107,-0.43651447491524187,-0.5460137228479403,-0.6333332014821225,-0.2514303658813409,0.43568863016965,0.43568863016965,1.0,0.5775299764737161,0.7984562185232565,0.646178290029756,-0.222326390698586,0.44347950804389297,-0.8182818050235174,0.7070665683626178,0.6547908841668557,0.5705282558550244,0.726604308555982
Total Failure Count,0.9236057701034165,0.8911457918375936,-0.10013874977767051,0.22550698331377425,0.22637905220142018,0.017671265940603458,-0.07107587712746397,-0.1690565853245884,-0.2546611680066134,-0.12980352194786196,-0.09478526131318704,0.43851419279330706,0.86409753615901,0.86409753615901,0.5775299764737161,1.0,0.29373251234803355,0.2114065884350161,-0.45666571202694356,0.8656286481465055,-0.7784660478786175,0.865089785356995,0.9519016797219542,0.7621744789808801,0.834968343352858
Total Median Response Time,0.3744492744921324,0.25080203437152193,-0.3562179697730319,0.9978933920448207,0.9430286406559393,0.7655356241673272,0.6044159374488655,0.043080726913814885,-0.2417260039316689,-0.3792835518665773,-0.5017275841353108,-0.3068379722195816,0.17469632414810235,0.17469632414810235,0.7984562185232565,0.29373251234803355,1.0,0.9112926664506712,-0.24161237271309904,0.24776928362943987,-0.4650338889595876,0.4111629906167782,0.3797289832087931,0.25114123188035714,0.4530801779303721
Total Average Response Time,0.24762099537340676,0.08141864196397071,-0.11637485219171032,0.909949735665307,0.965927280879534,0.9260027423847212,0.8477628165545197,0.40911700166874354,0.13906254332724272,-0.030269023141490516,-0.17661774747396483,-0.09362882023457186,0.23401005593584287,0.23401005593584287,0.646178290029756,0.2114065884350161,0.9112926664506712,1.0,-0.3358835998955676,0.3451425817478504,-0.25937783125865427,0.2181719442225818,0.23205873388813344,0.04555104398378776,0.3018526240680044
Total Min Response Time,-0.43106095047024123,-0.3853674606534216,-0.06240188386681905,-0.23555023335188863,-0.4059636225723803,-0.43481379398099795,-0.4967998891297263,-0.5095852894710377,-0.3763997784504711,-0.3456135946950696,-0.36141140487689305,-0.5768894699039775,-0.7051386621550292,-0.7051386621550292,-0.222326390698586,-0.45666571202694356,-0.24161237271309904,-0.3358835998955676,1.0,-0.6296550621033664,0.43495494757656433,-0.32792875531700844,-0.3680123842252366,-0.29147241363862925,-0.3581920491086644
Total Max Response Time,0.803079759251706,0.7303368728119995,0.09437800716526838,0.1404521190389141,0.266863836121583,0.22011748791368707,0.21451688773788052,0.25376374030649146,0.19186269315750068,0.2365691516480083,0.26734146024877437,0.7177656984493993,0.9999483812107013,0.9999483812107013,0.44347950804389297,0.8656286481465055,0.24776928362943987,0.3451425817478504,-0.6296550621033664,1.0,-0.5968417469681079,0.6603612579401751,0.7410790211111917,0.5826318965155867,0.6849138433647137
