,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory
99%,0.9004037583078797,0.8809261995935428,0.7789305034771055,0.88299928576831,0.9248950229907115,0.9389518890554404,0.9405257526773267,0.9158358220518056,0.8827551502227353,0.8238272828410402,1.0,0.9375508584551101,0.9264993356296554,0.9264993356296554,0.6623929235471172,0.594587183047783,0.8794441581392536,0.9279526253035105,-0.3604676153748865,0.9264853764266521,-0.8524944147580712,0.4669675005744362,0.3223481737065685
99.9%,0.8741534152961038,0.9197267091779578,0.8142667037032012,0.9398721434897723,0.9631104989357899,0.9739694265993565,0.9792685860342656,0.9737614823620488,0.9425595554092399,0.8509137140733499,0.9375508584551101,1.0,0.9964268344843783,0.9964268344843783,0.7844536402066193,0.7181127314401806,0.93620654506754,0.9699446423609356,-0.3680474153712698,0.9963658009208203,-0.9091464806114093,0.6245812172328606,0.4752769790391412
99.99%,0.8558321859870547,0.9359941203294329,0.844744656415347,0.9494455400954982,0.9638802431356281,0.9703306059843245,0.9761300546060987,0.97203317357874,0.9499698110613692,0.8435228942095989,0.9264993356296554,0.9964268344843783,1.0,1.0,0.8288123223680169,0.768657071932599,0.9453284226272756,0.9692049443623392,-0.364184712394264,0.9999873498613931,-0.9322280956092126,0.6771274747698528,0.536853431648114
100%,0.8558321859870547,0.9359941203294329,0.844744656415347,0.9494455400954982,0.9638802431356281,0.9703306059843245,0.9761300546060987,0.97203317357874,0.9499698110613692,0.8435228942095989,0.9264993356296554,0.9964268344843783,1.0,1.0,0.8288123223680169,0.768657071932599,0.9453284226272756,0.9692049443623392,-0.364184712394264,0.9999873498613931,-0.9322280956092126,0.6771274747698528,0.536853431648114
Total Request Count,0.547550267580711,0.8967667502211761,0.9167534619147728,0.8483381258989054,0.8029093200489851,0.7691245795895859,0.7696966737258824,0.7772712238353855,0.8080802035443279,0.6153926848126917,0.6623929235471172,0.7844536402066193,0.8288123223680169,0.8288123223680169,1.0,0.989703563572737,0.6920523626203207,0.6788011983663537,-0.20373712536060684,0.830506536719644,-0.8136392691104494,0.9100161512725982,0.8428626858111341
Total Failure Count,0.4646133346259239,0.8511717086657813,0.9057589499263945,0.7819333825010933,0.7297946805061564,0.6938321299311416,0.694353388242984,0.6996914515853575,0.7519477134445923,0.5480729951620957,0.594587183047783,0.7181127314401806,0.768657071932599,0.768657071932599,0.989703563572737,1.0,0.6237442277001736,0.6020281819137482,-0.16469803811151523,0.7678551179184849,-0.8001683208132043,0.9043972042043412,0.8679733694873629
Total Median Response Time,0.7609141226777835,0.7970424319588474,0.6848487981884132,0.9974481611321623,0.9846332573860227,0.9692320891978037,0.9685120363102374,0.9694145330364816,0.9348865738312532,0.8088089116902125,0.8794441581392536,0.93620654506754,0.9453284226272756,0.9453284226272756,0.6920523626203207,0.6237442277001736,1.0,0.9869529774414832,-0.1499080488387458,0.8316889219624847,-0.39323651825522726,0.5809460667095522,0.4670089750389113
Total Average Response Time,0.8150832402934638,0.8104635124093249,0.6799887407390234,0.9778937328995752,0.9915561495937278,0.9931860375057812,0.9953183315524542,0.9925882207163644,0.9555471092014189,0.8715980271971795,0.9279526253035105,0.9699446423609356,0.9692049443623392,0.9692049443623392,0.6788011983663537,0.6020281819137482,0.9869529774414832,1.0,-0.15927682634784338,0.8761811325525115,-0.4291352343113138,0.5634473895307018,0.4328131567929807
Total Min Response Time,-0.2763840946726946,-0.2612141367627741,-0.18038657793314164,-0.4571269499319647,-0.45338918488062196,-0.44772079480911114,-0.4469490249492811,-0.44359723795676925,-0.4376085962130482,-0.4272546280577169,-0.3604676153748865,-0.3680474153712698,-0.364184712394264,-0.364184712394264,-0.20373712536060684,-0.16469803811151523,-0.1499080488387458,-0.15927682634784338,1.0,-0.2610390879639769,0.47767181455148133,-0.17660011872889717,-0.12864647171608803
Total Max Response Time,0.8655601460803239,0.937156460554491,0.8424059685774719,0.9487381116481602,0.9632555298551947,0.9698596416566957,0.9756993352935543,0.9714879931914551,0.9496485745923472,0.8430752872801494,0.9264853764266521,0.9963658009208203,0.9999873498613931,0.9999873498613931,0.830506536719644,0.7678551179184849,0.8316889219624847,0.8761811325525115,-0.2610390879639769,1.0,-0.7605341265677344,0.6822643372527983,0.5428562033656378
