,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory
99%,0.8446654601508504,0.9201001158667017,,0.9613733464396436,0.9557535144891072,0.9735722434431322,0.9830281946847031,0.9876358738886369,0.99501036372085,0.9966341110090854,1.0,0.9937000470356901,0.9937000470356901,0.9937000470356901,0.8594905454897696,,0.9607986713296457,0.9780186981944219,-0.7392019440484129,0.9936870993560274,-0.891468999011134,0.8572618199734707,0.9094473811720871
99.9%,0.8365594769001587,0.9265832803290177,,0.9636820052761517,0.9655273726951041,0.9828210538698988,0.9916150383272736,0.9927430649387313,0.9960876770242169,0.9946836911075048,0.9937000470356901,1.0,1.0,1.0,0.8771967509400218,,0.9631448749639505,0.9835662764520773,-0.752620245750405,0.999967947967437,-0.9180087639405325,0.8793273061042363,0.9287698738653332
99.99%,0.8365594769001587,0.9265832803290177,,0.9636820052761517,0.9655273726951041,0.9828210538698988,0.9916150383272736,0.9927430649387313,0.9960876770242169,0.9946836911075048,0.9937000470356901,1.0,1.0,1.0,0.8771967509400218,,0.9631448749639505,0.9835662764520773,-0.752620245750405,0.999967947967437,-0.9180087639405325,0.8793273061042363,0.9287698738653332
100%,0.8365594769001587,0.9265832803290177,,0.9636820052761517,0.9655273726951041,0.9828210538698988,0.9916150383272736,0.9927430649387313,0.9960876770242169,0.9946836911075048,0.9937000470356901,1.0,1.0,1.0,0.8771967509400218,,0.9631448749639505,0.9835662764520773,-0.752620245750405,0.999967947967437,-0.9180087639405325,0.8793273061042363,0.9287698738653332
Total Request Count,0.5681359255092342,0.8819738648534927,,0.9456706011747823,0.9612177354339354,0.9297349806488577,0.9072546722321461,0.9060722939683086,0.8842242673686717,0.8626521761412452,0.8594905454897696,0.8771967509400218,0.8771967509400218,0.8771967509400218,1.0,,0.9377914107939355,0.936785325651244,-0.6103878288974379,0.8792762419853533,-0.7895387238475483,0.9707693520570475,0.9156711066211317
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,0.7488996742486868,0.9580109560565087,,0.9993515507212646,0.9894895560114427,0.983856262652182,0.9719252842385669,0.9714806713748573,0.9662039386380562,0.9589660923534851,0.9607986713296457,0.9631448749639505,0.9631448749639505,0.9631448749639505,0.9377914107939355,,1.0,0.9925721234372241,-0.5767127452822801,0.9650903418012244,-0.6692555274214398,0.9199610799733917,0.9329424423412928
Total Average Response Time,0.7775719271073603,0.949485075492488,,0.9917821557749081,0.9938914410989684,0.9941142846412153,0.9906802166168116,0.9910367481752234,0.9857907409914475,0.979181114579892,0.9780186981944219,0.9835662764520773,0.9835662764520773,0.9835662764520773,0.936785325651244,,0.9925721234372241,1.0,-0.5969426626960078,0.9843593666312604,-0.6852968622189377,0.9215937542779946,0.9380287072516912
Total Min Response Time,-0.46987087686504864,-0.622184053154061,,-0.7314026142531537,-0.7583590944535185,-0.7660508517497864,-0.7723778264093468,-0.7607787014025869,-0.7470694587298663,-0.7474848820194804,-0.7392019440484129,-0.752620245750405,-0.752620245750405,-0.752620245750405,-0.6103878288974379,,-0.5767127452822801,-0.5969426626960078,1.0,-0.6207726386329556,0.7456320319064595,-0.6058507665203207,-0.6174882688532636
Total Max Response Time,0.8489667957273208,0.9316108809162624,,0.963375861302644,0.9653854295225404,0.9825625107378105,0.9915987581831986,0.9929332595172636,0.9960865515236117,0.9946822092390183,0.9936870993560274,0.999967947967437,0.999967947967437,0.999967947967437,0.8792762419853533,,0.9650903418012244,0.9843593666312604,-0.6207726386329556,1.0,-0.6763558445776022,0.8782416301065483,0.9272710377776864
