,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits/s,Cache Misses/s,Cache Hit Ratio
99%,0.5039422009390606,0.15313320295487157,,-0.07251858740544997,0.0878687098743343,0.2022823330738809,0.3081169287846378,0.5698497385849847,0.7991807826965328,0.9503235693280385,1.0,0.7665568050965971,0.7665568050965971,0.7665568050965971,-0.03803799027996394,,-0.02303404911576756,0.25261323149885734,-0.7449961611150662,0.7642962995944125,0.06901201211908377,-0.1290165113286413,0.5414515177023644,0.4863725722602955,-0.024084992728689514,0.569834621103843
99.9%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49671948536225397,0.8707537954370654,0.6864932296558163,-0.2096890678247383,0.8912369824230142
99.99%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49671948536225397,0.8707537954370654,0.6864932296558163,-0.2096890678247383,0.8912369824230142
100%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49671948536225397,0.8707537954370654,0.6864932296558163,-0.2096890678247383,0.8912369824230142
Total Request Count,0.5525552788630983,0.900077241902244,,-0.6410020989863608,-0.7082426856352765,-0.7702632297256894,-0.7937050369095088,-0.7866286794837046,-0.5641704028097221,-0.2258603428782332,-0.03803799027996394,0.6069195444095052,0.6069195444095052,0.6069195444095052,1.0,,-0.5865889178226112,-0.703131947594136,-0.012166346485799772,0.6100140379747504,-0.7541623062616176,0.9500561346516295,0.690200002807543,0.43672573305998963,-0.3156258063709947,0.6976754648668323
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,-0.5136904054373725,-0.6651903896283593,,0.9919312727520502,0.9198322099404437,0.8422091648388476,0.7888603441657349,0.637207025544917,0.49124410701587223,0.225209004464266,-0.02303404911576756,-0.41280500752706134,-0.41280500752706134,-0.41280500752706134,-0.5865889178226112,,1.0,0.9146133119144005,0.12544552433537,-0.33735496899051814,0.6819230201328047,-0.4759166957490064,-0.45162730729351025,-0.6049511208111019,0.19144289984451668,-0.6396120295152807
Total Average Response Time,-0.43650643889091945,-0.7194108933758363,,0.9092006427492866,0.962962991143235,0.9636556266391849,0.9533064716544227,0.8680330261342637,0.7445361081832919,0.5024856089882032,0.25261323149885734,-0.29085597531128565,-0.29085597531128565,-0.29085597531128565,-0.703131947594136,,0.9146133119144005,1.0,0.17501873408269591,-0.18479139146757023,0.8287601099455896,-0.6198565295654096,-0.3931545186799943,-0.4867705653326074,0.2085430497545331,-0.507600158252962
Total Min Response Time,0.04407943123008222,-0.00641059885846468,,0.14989392148514197,0.0702683808611104,0.07301479969196341,0.025684076679894294,-0.13881958136538927,-0.40483959995403784,-0.6561137598483872,-0.7449961611150662,-0.859970758355807,-0.859970758355807,-0.859970758355807,-0.012166346485799772,,0.12544552433537,0.17501873408269591,1.0,0.09957020976703743,0.5386398705096188,-0.012941990420081314,-0.027083611279557385,-0.016981591450960856,0.2401497187263876,-0.021858632232379764
Total Max Response Time,0.7935554593619816,0.7199578882655391,,-0.4787755029614363,-0.400620881532651,-0.3547335004364341,-0.28777925061691056,-0.061847474644803134,0.26962801206420345,0.5999524130173709,0.7642962995944125,0.999811375910109,0.999811375910109,0.999811375910109,0.6100140379747504,,-0.33735496899051814,-0.18479139146757023,0.09957020976703743,1.0,-0.25638408907463905,0.5004410748288539,0.8690997653003137,0.685634450200164,-0.1028212383427507,0.8825457458480738
Total Average Content Size,-0.3835467529436181,-0.6998784999235859,,0.7357200131096986,0.8061039085743725,0.8482337099583172,0.8608046505734768,0.8158330739782217,0.6042820316407698,0.2897760775309352,0.06901201211908377,-0.5454422052577333,-0.5454422052577333,-0.5454422052577333,-0.7541623062616176,,0.6819230201328047,0.8287601099455896,0.5386398705096188,-0.25638408907463905,1.0,-0.7063043653098668,-0.47719132206148734,-0.3859534968214143,0.4086607724488364,-0.5202206461669101
CPU,0.38298896443238956,0.7839729324973012,,-0.518750096718351,-0.592751296302823,-0.6597531374037151,-0.6979043052329265,-0.7657645277518964,-0.5875423574988273,-0.26343192100377477,-0.1290165113286413,0.49671948536225397,0.49671948536225397,0.49671948536225397,0.9500561346516295,,-0.4759166957490064,-0.6198565295654096,-0.012941990420081314,0.5004410748288539,-0.7063043653098668,1.0,0.574810961660864,0.2659343225036617,-0.3623315784143275,0.5840758962892537
Memory,0.8110601055762311,0.7990658339583787,,-0.5423652607655276,-0.5766209114449894,-0.5591189834494106,-0.4854871479271428,-0.24066278503698954,0.04072371410085029,0.32197726754903294,0.5414515177023644,0.8707537954370654,0.8707537954370654,0.8707537954370654,0.690200002807543,,-0.45162730729351025,-0.3931545186799943,-0.027083611279557385,0.8690997653003137,-0.47719132206148734,0.574810961660864,1.0,0.6739286189373261,-0.09053341336300508,0.8324182269603858
Cache Hits/s,0.9357725489432311,0.7338904304601339,,-0.6627428992156675,-0.6301281204744122,-0.5792846242675594,-0.510353534471139,-0.22773461702395384,0.06595449570030693,0.23878467732545117,0.4863725722602955,0.6864932296558163,0.6864932296558163,0.6864932296558163,0.43672573305998963,,-0.6049511208111019,-0.4867705653326074,-0.016981591450960856,0.685634450200164,-0.3859534968214143,0.2659343225036617,0.6739286189373261,1.0,0.125775018562406,0.7567973947436022
Cache Misses/s,0.1993830938562453,-0.08248458142330657,,0.17623046671082815,0.10085341940179975,0.056784189999728014,0.08150952386026915,0.24005923227812334,0.16526180463250972,-0.036838629805385895,-0.024084992728689514,-0.2096890678247383,-0.2096890678247383,-0.2096890678247383,-0.3156258063709947,,0.19144289984451668,0.2085430497545331,0.2401497187263876,-0.1028212383427507,0.4086607724488364,-0.3623315784143275,-0.09053341336300508,0.125775018562406,1.0,-0.33345188521912467
Cache Hit Ratio,0.7599651276220236,0.7806908098021474,,-0.7135928435623163,-0.6321829920036413,-0.5587932011379196,-0.4935177430567603,-0.29179346550543217,0.021325312094894945,0.36732844419972444,0.569834621103843,0.8912369824230142,0.8912369824230142,0.8912369824230142,0.6976754648668323,,-0.6396120295152807,-0.507600158252962,-0.021858632232379764,0.8825457458480738,-0.5202206461669101,0.5840758962892537,0.8324182269603858,0.7567973947436022,-0.33345188521912467,1.0
