,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
99%,-0.5129196305117172,-0.588331705815586,0.3629534982446838,-0.17311066337991488,0.07172683565678159,0.16987291295925547,0.21920832235712254,0.453212582678581,0.7228542244525183,0.9349070424294357,1.0,0.41335886020080786,0.17020149480972468,0.17020149480972468,-0.7450628414782976,-0.6863158374791463,-0.18209678428680115,0.2604683331367034,-0.21142165859517312,0.16993294563446895,0.6695936761958197,-0.7606314811118374,-0.41710283893443884,-0.7424161800339719,-0.7324955920346713,,-0.4645325486896627,0.3080297102644868,-0.4334225522246159,-0.09749795706713302,0.6523884945863762
99.9%,0.49229101603226816,0.4575472441625357,0.08967746783758498,-0.5129654079155475,-0.4037707543274125,-0.3671684036165312,-0.34006312414199563,-0.19923091696322642,-0.04551669952745382,0.18090459967171504,0.41335886020080786,1.0,0.8985635945854634,0.8985635945854634,-0.0450276461753287,0.3046965952218955,-0.5103038305295895,-0.39555050591767604,-0.6148573337955239,0.8984238892367118,-0.33246334046764187,0.14804499480606803,0.4364782076880038,-0.06797250728241523,0.1292126139879285,,0.4402075524061115,0.009916498728587962,0.45331197457512756,0.5988892795139983,-0.1077657126572687
99.99%,0.690360627334415,0.627293015512954,-0.08037843573986744,-0.4187480253103439,-0.3457971724137871,-0.3138612382605692,-0.26665490699236594,-0.134705958058147,-0.06523357961664382,0.02961580429621245,0.17020149480972468,0.8985635945854634,1.0,1.0,0.3567616139701326,0.5481587328677568,-0.4107362344041906,-0.3406258561164777,-0.6656757139577513,0.9999174419690643,-0.601474243501468,0.4773927653104714,0.7170035650919102,0.33844119857043664,0.48667856146240074,,0.5791264246063341,-0.19583504508860555,0.566893829756204,0.6909797371624951,-0.26502811280951444
100%,0.690360627334415,0.627293015512954,-0.08037843573986744,-0.4187480253103439,-0.3457971724137871,-0.3138612382605692,-0.26665490699236594,-0.134705958058147,-0.06523357961664382,0.02961580429621245,0.17020149480972468,0.8985635945854634,1.0,1.0,0.3567616139701326,0.5481587328677568,-0.4107362344041906,-0.3406258561164777,-0.6656757139577513,0.9999174419690643,-0.601474243501468,0.4773927653104714,0.7170035650919102,0.33844119857043664,0.48667856146240074,,0.5791264246063341,-0.19583504508860555,0.566893829756204,0.6909797371624951,-0.26502811280951444
Total Request Count,0.7060349410367895,0.69039495223465,-0.4317631102149495,0.08477069166244404,-0.049870931130666665,-0.08613686700752554,-0.06357346640657262,-0.149393077966174,-0.3759709188708809,-0.6403310505571327,-0.7450628414782976,-0.0450276461753287,0.3567616139701326,0.3567616139701326,1.0,0.8146169039212758,0.10941664362783697,-0.11963947358930992,-0.1647811891503788,0.3656027095864942,-0.811956208806679,0.9448835781847584,0.8044626545767659,0.9994796761521367,0.9745121087382499,,0.5898913635013323,-0.46546271936941763,0.5382932021082989,0.39709979538841345,-0.5678006019422921
Total Failure Count,0.914417869833307,0.9428789509268106,-0.21364632026533842,-0.17151963014086005,-0.3352249374567248,-0.3981852099577446,-0.3948187888873276,-0.47113087199417286,-0.668878511999473,-0.7472061639642212,-0.6863158374791463,0.3046965952218955,0.5481587328677568,0.5481587328677568,0.8146169039212758,1.0,-0.13241533578046297,-0.4317159085431771,-0.29686546461810626,0.5696598939385641,-0.8902784117261391,0.9372689751199238,0.8152065733068662,0.7978098118271217,0.9102143240864748,,0.8077151299526892,-0.29537081008723376,0.7847482441083433,0.5869585626249694,-0.6973356927018085
Total Median Response Time,-0.3523167450597752,-0.3508807859741215,0.2138924528186261,0.999035673896014,0.9081487412183309,0.8035937463871351,0.73675609843169,0.5248572224605861,0.28181170933941796,0.049361298637838724,-0.18209678428680115,-0.5103038305295895,-0.4107362344041906,-0.4107362344041906,0.10941664362783697,-0.13241533578046297,1.0,0.8262204071141385,0.07152832389186181,-0.3152059030023194,0.2427828017652186,-0.05012852726353955,-0.21336986764230326,0.12663622591105492,-0.004584476888001971,,-0.37804804139964054,0.2156829604217747,-0.35650076859396934,-0.5628793588744113,0.540943831176859
Total Average Response Time,-0.5983117005099065,-0.6461898134986437,0.22598942362615,0.8272632513802255,0.9458574687034613,0.9650780912297431,0.9604455837397401,0.8918913045054903,0.748482722835497,0.5231544844742599,0.2604683331367034,-0.39555050591767604,-0.3406258561164777,-0.3406258561164777,-0.11963947358930992,-0.4317159085431771,0.8262204071141385,1.0,0.027677635851870712,-0.23047638835032735,0.546267882154778,-0.3392881428781409,-0.30162948654992827,-0.0973528486383403,-0.2552056058375523,,-0.5858280166373562,0.18718566145139445,-0.5729413860591895,-0.5239906857094394,0.8446480898065619
Total Min Response Time,-0.3465517723342067,-0.2997339698039854,-0.05311912508321656,0.07123923895472677,0.0032403416865493073,0.005000436977569458,-0.017416015580843908,-0.06712608307376972,-0.10062396769148296,-0.14329352587208785,-0.21142165859517312,-0.6148573337955239,-0.6656757139577513,-0.6656757139577513,-0.1647811891503788,-0.29686546461810626,0.07152832389186181,0.027677635851870712,1.0,-0.568623600072605,0.3339940615937576,-0.2200699406024746,-0.3416477052860296,-0.15546169590041348,-0.23536947986021708,,-0.2635635446498367,-0.10978316284323475,-0.28481708323186583,-0.31327032324553494,-0.0485899624828264
Total Max Response Time,0.7082452483377648,0.6385271681724498,-0.05378203562234356,-0.41978323754028674,-0.34699452775953066,-0.3152828829208011,-0.26792078549770154,-0.13578672403128503,-0.06622801603534356,0.0293227492069248,0.16993294563446895,0.8984238892367118,0.9999174419690643,0.9999174419690643,0.3656027095864942,0.5696598939385641,-0.3152059030023194,-0.23047638835032735,-0.568623600072605,1.0,-0.43923294200822943,0.48707062001399876,0.7256372649746337,0.34668612541877086,0.4996717156797785,,0.5874902616588485,-0.12137255643264225,0.5838181620101085,0.6968843639653232,-0.1974680588530585
