,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
Total Request Count,0.4599256968901024,0.5218907644903091,0.1468634712333227,-0.5750955423914744,-0.5961501876349528,-0.6007391571125239,-0.603411076899234,-0.6083831631649953,-0.6613239984304728,-0.7601937264417581,-0.7807416023424816,-0.5454178336917105,-0.05561154509976359,0.3720836735884183,1.0,0.996004609091205,-0.5685048200147186,-0.6498247461155231,-0.11873643238921508,0.3773117721604307,-0.6050090568799387,0.2887447565668431,0.09983896878564337,0.32289880080558375,0.5531693037620853
Total Failure Count,0.503212656956807,0.5669378043862122,0.1954137987103551,-0.6122871326638453,-0.633060137069651,-0.636435715277329,-0.6381175201508588,-0.6396757915481043,-0.6836231078447456,-0.7671628035848489,-0.7790184365682681,-0.5216754774390276,-0.023893957529227256,0.40741895280332313,0.996004609091205,1.0,-0.6046466807134131,-0.6795108433103844,-0.12865791043202393,0.41270054792278127,-0.6381704289698568,0.32720441146387685,0.1451569258802689,0.3620582802454075,0.5820257659835234
Total Median Response Time,-0.8074467462480233,-0.8989001931568118,-0.3261197556723816,0.9994195183648781,0.9840741776308849,0.9683560244904829,0.959168735390465,0.9137616659080973,0.8558116561717254,0.7306514620689862,0.6350546928450107,0.05830835559182918,-0.4986436080955644,-0.6731840165990727,-0.5685048200147186,-0.6046466807134131,1.0,0.9592202543687648,0.10119504080328234,-0.6213782045521719,0.8969295027145012,-0.7670938082934162,-0.5335939254611333,-0.77774682305229,-0.7915378531751686
Total Average Response Time,-0.7035265018764064,-0.851249270525089,-0.2450081450456345,0.9579380081611383,0.9818984460126304,0.9913809640057277,0.9935958752582404,0.986472335929181,0.9641201882856597,0.881353091631238,0.8015742774809022,0.3000638376614711,-0.3205372255828318,-0.5169997472673871,-0.6498247461155231,-0.6795108433103844,0.9592202543687648,1.0,0.05354606326107276,-0.46849324176637475,0.8696874139807989,-0.6885947640119636,-0.4153134953957469,-0.754288406370288,-0.7880146885149476
Total Min Response Time,-0.34886746768422705,-0.26700066817868134,-0.09619283469565872,0.10480128535644831,0.0611430791233456,0.03566404755512169,0.020733412366780588,-0.011904646957963949,-0.03736856250410679,-0.07079539702225117,-0.10266414850286289,-0.3158062281110274,-0.41956489565308774,-0.47458823054318344,-0.11873643238921508,-0.12865791043202393,0.10119504080328234,0.05354606326107276,1.0,-0.42542334615474053,0.3936659859895347,-0.21947494139379123,-0.46899036560149143,-0.21576468138197616,-0.2738183765123655
Total Max Response Time,0.9335695929012857,0.815797490705234,0.3186401399102444,-0.6828364728991922,-0.608826155255511,-0.5431643067356356,-0.5117012550431718,-0.4108117598270127,-0.32693604323278974,-0.19972519559446666,-0.09586065799896604,0.5053685148817746,0.8614637525508565,0.9999936727572295,0.3773117721604307,0.41270054792278127,-0.6213782045521719,-0.46849324176637475,-0.42542334615474053,1.0,-0.7175908745729344,0.7134626599127669,0.7787618544547857,0.6979635797465966,0.6806990590492162
Total Average Content Size,-0.844449879380202,-0.8994791297076709,-0.26773041555542826,0.9076910639233607,0.8923742399452813,0.8704723911065491,0.857922531092309,0.8149412795710594,0.7742254279092149,0.6790060131424146,0.5804980838649364,-0.02953059251531098,-0.628737146897319,-0.8323267784801532,-0.6050090568799387,-0.6381704289698568,0.8969295027145012,0.8696874139807989,0.3936659859895347,-0.7175908745729344,1.0,-0.7327159591070664,-0.5715540345820528,-0.8001830924757122,-0.8096481280502836
Dana CPU,0.827432697609038,0.8473487134240547,0.2851860714451707,-0.7879360994265124,-0.7760364673374768,-0.7502010231533239,-0.7327278439377604,-0.6749706908276737,-0.5808927662906707,-0.40908980268184786,-0.28065303753158455,0.24725566845690716,0.6216586476521285,0.7093919057186114,0.2887447565668431,0.32720441146387685,-0.7670938082934162,-0.6885947640119636,-0.21947494139379123,0.7134626599127669,-0.7327159591070664,1.0,0.7766049738004397,0.9085487080795424,0.7491973011012142
Dana Memory,0.7950061400158634,0.7367919861510053,0.33853604978709045,-0.588589234489259,-0.5558768175271903,-0.5131321688951851,-0.48824436318912606,-0.41362529937476483,-0.31340079284483535,-0.11430722229794074,-0.008051369774205317,0.4999983162738954,0.7371362922194904,0.7510000685833694,0.09983896878564337,0.1451569258802689,-0.5335939254611333,-0.4153134953957469,-0.46899036560149143,0.7787618544547857,-0.5715540345820528,0.7766049738004397,1.0,0.702345218909035,0.5664387960824863
Remote CPU,0.8275513673468013,0.8843769980159187,0.1906291065162241,-0.798152822583999,-0.8029766370630921,-0.7931440735107792,-0.786205024625622,-0.7620603761017026,-0.6988191432973646,-0.5596817187698198,-0.4230710964948498,0.11797761125431058,0.6244259064946454,0.6934323334803257,0.32289880080558375,0.3620582802454075,-0.77774682305229,-0.754288406370288,-0.21576468138197616,0.6979635797465966,-0.8001830924757122,0.9085487080795424,0.702345218909035,1.0,0.8064420176340527
