,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
100%,0.6006817787744204,0.5996370168381179,,-0.3841537984802351,-0.220084989575061,-0.16984333562943174,-0.12634224491387566,-0.06239909096090376,0.0013359546416129619,0.152127355409142,0.3683979602313009,0.9632368873603676,1.0,1.0,0.4099823845062314,,-0.3730941468755233,-0.23100877824889088,-0.9145062862703613,0.9999679094626072,-0.7006967538744603,0.45413910904757393,0.7389196904477686,0.3952850039130854,0.5468270708547144,0.4647332976807786,0.49228351013554095,-0.13206303947723774,0.4598706798005991,0.7019948543448792,-0.25334860160338085
Total Request Count,0.34666164949715544,0.5371826043714539,,-0.2997282089672066,-0.114344723731839,-0.14291495857055012,-0.20630128764961805,-0.47686017619730725,-0.6468014716411862,-0.7719021264901886,-0.6783333600858026,0.15961356999773782,0.4099823845062314,0.4099823845062314,1.0,,-0.2742983150256023,-0.36651784724615577,-0.2860288591429887,0.41738084371058276,-0.7527576340886372,0.9271603509786672,0.8736140561389235,0.999505975265441,0.971959294648434,0.9863149374290671,0.1874856379038149,-0.5846162820369206,0.10750040346521568,0.5112304171499238,-0.6480198379189573
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,-0.6200488364049409,-0.683139182096981,,0.9966161705027852,0.9236079840922836,0.8723331606982621,0.8359224118853414,0.6690831375296586,0.5132518467846287,0.284030299017212,0.11188375817022922,-0.32469995078196884,-0.3730941468755233,-0.3730941468755233,-0.2742983150256023,,1.0,0.9148873425656728,0.17908965001571417,-0.29820083982299167,0.6709479149550904,-0.3716790224667568,-0.492434621451637,-0.26177599998340995,-0.39314999717491245,-0.3610472194976326,-0.6372258673513144,-0.05111037264421269,-0.6224118132455787,-0.6075845329188204,0.8357911213309097
Total Average Response Time,-0.6509037751619208,-0.7776614990903967,,0.9136978006324539,0.9380442080542702,0.9508311170223908,0.9594178567057943,0.9054898311251387,0.7757664817991516,0.5326618648638737,0.3459697702082738,-0.14195578682298743,-0.23100877824889088,-0.23100877824889088,-0.36651784724615577,,0.9148873425656728,1.0,0.05458879410849071,-0.14921649125090508,0.7326148196068943,-0.5002889538404108,-0.4803037049285229,-0.3566487962108912,-0.4801177331886902,-0.46252484711714076,-0.657884812991361,-0.011631645631195765,-0.6374025669110909,-0.500567799391642,0.9356801497791175
Total Min Response Time,-0.4330485162506055,-0.42166902362135206,,0.1833876632128965,0.05480319988967177,0.014361915598345801,-0.013595215343319084,-0.08057358591799803,-0.14758871578244248,-0.25339763814236227,-0.4362366491371903,-0.9017120898972011,-0.9145062862703613,-0.9145062862703613,-0.2860288591429887,,0.17908965001571417,0.05458879410849071,1.0,-0.790734682890382,0.5305146451820998,-0.31728632485375435,-0.5649080820045466,-0.27477271415178983,-0.3920501398457284,-0.32338595930381,-0.3411508853853867,0.06185766032712596,-0.3219676653364206,-0.4825680351088582,0.07024092543777996
Total Max Response Time,0.6184453586273082,0.6083993658141877,,-0.38568611737417485,-0.22134843761900752,-0.17098198023636768,-0.12762064526662964,-0.0634511243969998,0.0002584467389331317,0.15113791161218823,0.36762351231153145,0.9630460886524442,0.9999679094626072,0.9999679094626072,0.41738084371058276,,-0.29820083982299167,-0.14921649125090508,-0.790734682890382,1.0,-0.5313309052797532,0.46176478313428937,0.7514885146182667,0.40222268824872237,0.5582268357932906,0.4719863434677565,0.4993141016332795,-0.06791731455716513,0.47408981200542744,0.7054448999082915,-0.18943640759471547
Total Average Content Size,-0.6723457197365715,-0.8254508083613895,,0.6769063530910192,0.5524899112147947,0.5647567528931995,0.5895261174307153,0.6907160706769321,0.6888958540151581,0.5432640827618789,0.3224801965447037,-0.5282134713751574,-0.7006967538744603,-0.7006967538744603,-0.7527576340886372,,0.6709479149550904,0.7326148196068943,0.5305146451820998,-0.5313309052797532,1.0,-0.8069790999087894,-0.845263818339553,-0.7430640553671708,-0.8444301722443172,-0.816124617790646,-0.574206208446611,0.32771546303373916,-0.5137182885282966,-0.6857576444906952,0.8267651161221835
CPU,0.5809732405173499,0.735416566105632,,-0.3985887684804673,-0.28670765945609406,-0.3027581436542991,-0.36058070747979837,-0.6096609740965947,-0.7531789400248419,-0.7834209630585435,-0.6107414960250074,0.2272212193289156,0.45413910904757393,0.45413910904757393,0.9271603509786672,,-0.3716790224667568,-0.5002889538404108,-0.31728632485375435,0.46176478313428937,-0.8069790999087894,1.0,0.878186459781769,0.9278300848630469,0.9596142422484316,0.9475070253496308,0.425609248363713,-0.4946643748777342,0.34902390111855547,0.5384203188785005,-0.7038807731332752
Memory,0.6289687458859513,0.7546822352793205,,-0.5460563593119141,-0.350077898979017,-0.3390413496961617,-0.3623597402159941,-0.48652051055212275,-0.5393026923719888,-0.5104462445335929,-0.3226516757075109,0.5473208787385287,0.7389196904477686,0.7389196904477686,0.8736140561389235,,-0.492434621451637,-0.4803037049285229,-0.5649080820045466,0.7514885146182667,-0.845263818339553,0.878186459781769,1.0,0.865094820335623,0.9426470683983557,0.9067857403014227,0.47380458096549166,-0.40122407783159236,0.40739569678779414,0.7308435559236294,-0.6621692255143333
