,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
Total Average Response Time,0.6613730126485969,0.10235086270559561,,-0.47229258387475553,-0.21789126327089384,0.3051118504802597,0.34972094008114135,0.8644780366727288,0.9699978743005829,0.8637819433986651,0.8511956250090198,0.7974346939467308,0.7974346939467308,0.7974346939467308,0.7728014651441427,,-0.3269923607021311,1.0,-0.49851387892787613,0.8062096388262885,-0.3537724454470701,0.5501578880216378,0.5778659738627979,0.765820998819831,,,0.26622839968319434,,0.26622839968319434,-0.05032218192495367,
Total Min Response Time,-0.5182300660272392,-0.4238925390253384,,0.7907973568453291,0.557028321490541,0.0586439801234206,-0.12453751905610042,-0.34508758742381507,-0.7346385996725658,-0.9328873905489995,-0.9358191627278677,-0.9443829730139216,-0.9443829730139216,-0.9443829730139216,-0.5713196034201078,,0.8360050078929072,-0.49851387892787613,1.0,-0.6577702717629437,0.9212777051721001,-0.5022575655044996,-0.5291406384358243,-0.5716240856953837,,,-0.625431823360805,,-0.625431823360805,0.291824114457481,
Total Max Response Time,0.8797284487428771,0.6356155131979471,,-0.8488750597982627,-0.6204184764339098,-0.06760653223791974,0.13355798939087846,0.4036999314044103,0.7994320353449283,0.9925797300584758,0.9946169878545768,0.9999927836414115,0.9999927836414115,0.9999927836414115,0.8934379885038775,,-0.6341892835962012,0.8062096388262885,-0.6577702717629437,1.0,-0.46451462890211664,0.749210915905381,0.779069543611623,0.8950199044726533,,,0.03804296930979624,,0.03804296930979624,-0.4252999639550479,
Total Average Content Size,-0.2846167235531108,-0.26155552758324724,,0.8930992376329647,0.6556589668972324,0.12688178027005825,-0.012766628986692008,-0.4083824988705165,-0.7845439250790798,-0.9756491961537923,-0.9780584826863595,-0.9837945015287562,-0.9837945015287562,-0.9837945015287562,-0.43546924689374955,,0.8646499680937167,-0.3537724454470701,0.9212777051721001,-0.46451462890211664,1.0,-0.35976941131785795,-0.3542151954634275,-0.4319925090418566,,,-0.7855102354374667,,-0.7855102354374667,0.19978467308327486,
CPU,0.8970132092923431,0.7085028538038564,,-0.7541217083338457,-0.555476111424298,-0.1615747496658103,-0.09119823064204499,0.2786876484406449,0.44090141209467293,0.7220780605845065,0.704767005428642,0.7397006760910061,0.7397006760910061,0.7397006760910061,0.8647508600275539,,-0.5570830758257169,0.5501578880216378,-0.5022575655044996,0.749210915905381,-0.35976941131785795,1.0,0.9931959298962877,0.871505627822303,,,-0.11169259010882569,,-0.11169259010882569,-0.6473667278999564,
Memory,0.9257813355683454,0.7122992867588496,,-0.7647578045252158,-0.5565245992970888,-0.14879755517825557,-0.0691287635896631,0.28889504085800244,0.4773488942225469,0.7523042476449021,0.7369960667593627,0.7694023224640182,0.7694023224640182,0.7694023224640182,0.8758236980107521,,-0.5517243850043962,0.5778659738627979,-0.5291406384358243,0.779069543611623,-0.3542151954634275,0.9931959298962877,1.0,0.8828626240562434,,,-0.11639731369228619,,-0.11639731369228619,-0.6280483532039286,
Cache Hits,0.9179834211445855,0.5861299376932844,,-0.8544016237022363,-0.5954803204315053,-0.11254157693163563,-0.07639328349006567,0.4851488785976862,0.7286391687927881,0.8916095525203197,0.8880678656337093,0.8892997198654727,0.8892997198654727,0.8892997198654727,0.9997504290249158,,-0.6275582481304198,0.765820998819831,-0.5716240856953837,0.8950199044726533,-0.4319925090418566,0.871505627822303,0.8828626240562434,1.0,,,0.013132362951073413,,0.013132362951073413,-0.4152994845052695,
Cache Misses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Hits/s,-0.1846185262920919,-0.34660889012077084,,-0.05568698473837485,0.12277679653283492,0.4460793671412718,0.36266825665742297,0.8683916256972102,0.8227510385340616,0.49401549925607674,0.487960620585524,0.4036650223001186,0.4036650223001186,0.4036650223001186,0.02317416669408719,,-0.4359840856761637,0.26622839968319434,-0.625431823360805,0.03804296930979624,-0.7855102354374667,-0.11169259010882569,-0.11639731369228619,0.013132362951073413,,,1.0,,1.0,0.27927875197765195,
