timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786763430,1000m,33Mi,124m,24Mi
1786763431,1000m,33Mi,124m,24Mi
1786763432,1000m,33Mi,124m,24Mi
1786763433,1000m,33Mi,124m,24Mi
1786763434,1000m,33Mi,124m,24Mi
1786763436,1000m,33Mi,124m,24Mi
1786763437,1000m,33Mi,124m,24Mi
1786763438,1000m,33Mi,124m,24Mi
1786763439,700m,32Mi,70m,25Mi
1786763440,700m,32Mi,70m,25Mi
1786763441,700m,32Mi,70m,25Mi
1786763442,700m,32Mi,70m,25Mi
1786763443,700m,32Mi,70m,25Mi
1786763444,700m,32Mi,70m,25Mi
1786763446,700m,32Mi,70m,25Mi
1786763447,700m,32Mi,70m,25Mi
1786763448,700m,32Mi,70m,25Mi
1786763449,700m,32Mi,70m,25Mi
1786763450,700m,32Mi,70m,25Mi
1786763451,700m,32Mi,70m,25Mi
1786763452,700m,32Mi,70m,25Mi
1786763453,700m,32Mi,70m,25Mi
1786763454,0m,31Mi,0m,24Mi
1786763456,0m,31Mi,0m,24Mi
