Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory
71,1786717409,50,,Aggregated,29.8,0.0,1100.0,1400.0,1600.0,1700.0,2100.0,2600.0,3000.0,3400.0,5500.0,5600.0,5600.0,1705,0,1100.0,1107.595871784656,46.04758601635695,5647.235459997319,334.0146627565982,2026-08-14 14:23:38,1000.0,32.0,164.0,24.0
72,1786717410,50,,Aggregated,29.4,0.0,1100.0,1400.0,1600.0,1700.0,2100.0,2600.0,3000.0,3400.0,5500.0,5600.0,5600.0,1734,0,1100.0,1117.6040174259354,46.04758601635695,5647.235459997319,334.48731257208766,2026-08-14 14:23:39,1000.0,34.0,175.0,25.0
73,1786717411,50,,Aggregated,29.6,0.0,1100.0,1400.0,1600.0,1700.0,2200.0,2500.0,3000.0,3400.0,5500.0,5600.0,5600.0,1760,0,1100.0,1126.548347394551,46.04758601635695,5647.235459997319,333.8528409090909,2026-08-14 14:23:40,1000.0,34.0,175.0,25.0
74,1786717412,50,,Aggregated,29.5,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,3000.0,3400.0,5500.0,5600.0,5600.0,1793,0,1200.0,1138.2317935221513,46.04758601635695,5647.235459997319,333.55214723926383,2026-08-14 14:23:41,1000.0,34.0,175.0,25.0
75,1786717413,50,,Aggregated,29.0,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,3000.0,3400.0,5500.0,5600.0,5600.0,1826,0,1200.0,1146.3466580413478,46.04758601635695,5647.235459997319,332.4978094194961,2026-08-14 14:23:43,1000.0,34.0,175.0,25.0
76,1786717414,50,,Aggregated,29.3,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,3000.0,3400.0,5500.0,5600.0,5600.0,1873,0,1200.0,1149.4526655730322,46.04758601635695,5647.235459997319,330.6342765616658,2026-08-14 14:23:44,1000.0,34.0,175.0,25.0
77,1786717415,50,,Aggregated,29.6,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,2900.0,3300.0,5500.0,5600.0,5600.0,1902,0,1200.0,1150.260869898678,46.04758601635695,5647.235459997319,329.29652996845425,2026-08-14 14:23:45,1000.0,34.0,175.0,25.0
78,1786717416,50,,Aggregated,30.7,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,2900.0,3300.0,5500.0,5600.0,5600.0,1930,0,1200.0,1155.736909471054,46.04758601635695,5647.235459997319,328.05544041450776,2026-08-14 14:23:46,1000.0,34.0,175.0,25.0
79,1786717417,50,,Aggregated,31.8,0.0,1200.0,1400.0,1600.0,1700.0,2200.0,2500.0,2900.0,3300.0,5500.0,5600.0,5600.0,1952,0,1200.0,1164.3680663068242,46.04758601635695,5647.235459997319,328.7827868852459,2026-08-14 14:23:47,1000.0,34.0,175.0,25.0
80,1786717418,50,,Aggregated,32.8,0.0,1200.0,1500.0,1600.0,1700.0,2200.0,2500.0,3000.0,3300.0,5500.0,5600.0,5600.0,1988,0,1200.0,1178.5847390052638,46.04758601635695,5647.235459997319,329.7525150905433,2026-08-14 14:23:48,1000.0,34.0,175.0,25.0
81,1786717419,50,,Aggregated,31.5,0.0,1200.0,1500.0,1600.0,1700.0,2200.0,2500.0,3000.0,3300.0,5500.0,5600.0,5600.0,2016,0,1200.0,1184.6906118138693,46.04758601635695,5647.235459997319,329.5109126984127,2026-08-14 14:23:49,1000.0,34.0,175.0,25.0
82,1786717420,50,,Aggregated,31.3,0.0,1200.0,1500.0,1600.0,1700.0,2200.0,2500.0,3000.0,3300.0,5500.0,5600.0,5600.0,2041,0,1200.0,1191.2334983606468,46.04758601635695,5647.235459997319,328.9250367466928,2026-08-14 14:23:50,1000.0,34.0,175.0,25.0
83,1786717421,50,,Aggregated,30.7,0.0,1200.0,1500.0,1600.0,1700.0,2200.0,2500.0,2900.0,3300.0,5500.0,5600.0,5600.0,2083,0,1200.0,1200.7365545469297,46.04758601635695,5647.235459997319,328.4061449831973,2026-08-14 14:23:51,1000.0,34.0,175.0,25.0
84,1786717422,50,,Aggregated,31.0,0.0,1200.0,1500.0,1600.0,1700.0,2200.0,2500.0,2900.0,3300.0,5500.0,5600.0,5600.0,2098,0,1200.0,1202.6581385688282,46.04758601635695,5647.235459997319,327.860819828408,2026-08-14 14:23:53,1000.0,34.0,175.0,25.0
85,1786717423,50,,Aggregated,31.0,0.0,1300.0,1500.0,1600.0,1700.0,2200.0,2500.0,2900.0,3200.0,5500.0,5600.0,5600.0,2120,0,1300.0,1211.852286407781,46.04758601635695,5647.235459997319,328.84292452830186,2026-08-14 14:23:54,1000.0,33.0,167.0,25.0
