,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
99%,-0.15947680604364914,-0.1995443934881827,,-0.2014553299073185,-0.1208242217212843,-0.0229985448567499,0.05208245425875414,0.32223775386630893,0.5748473213737475,0.8500278647221289,1.0,0.6643176728050791,0.2849940478060989,0.2849940478060989,-0.17773853625049385,,-0.1909162376684897,-0.02788875140834426,-0.3624961617542909,0.28392643445952104,0.3947887025382026,-0.4387814751305356,-0.3846510882337865,-0.3084202324130279,-0.186013137507754
99.9%,0.1670136739545218,0.38174659963686597,,-0.4854142275824853,-0.4298118371496242,-0.36633087066297976,-0.300658157888857,-0.0864470650769244,0.1911252798686592,0.5378364069151405,0.6643176728050791,1.0,0.5524469975807788,0.5524469975807788,-0.4513770240601059,,-0.47006716920309666,-0.38964592850880314,-0.4162506984849032,0.5520150666007257,0.13795392520040595,-0.11128866246597119,-0.224819006818188,0.26817081483617056,0.12442831386886966
99.99%,0.8451721439257074,0.5755546169447802,,0.2292685459877212,0.2392945056342845,0.2508157930184768,0.27130766751159646,0.3262422883979729,0.39986948657959787,0.37098967580010367,0.2849940478060989,0.5524469975807788,1.0,1.0,0.3631493940856985,,0.24886727545356685,0.2723760652289103,-0.6120687902205473,0.9999893072498883,-0.6961125443376788,0.677238852087023,0.6319171526973841,0.5232357452082518,0.78930965956714
100%,0.8451721439257074,0.5755546169447802,,0.2292685459877212,0.2392945056342845,0.2508157930184768,0.27130766751159646,0.3262422883979729,0.39986948657959787,0.37098967580010367,0.2849940478060989,0.5524469975807788,1.0,1.0,0.3631493940856985,,0.24886727545356685,0.2723760652289103,-0.6120687902205473,0.9999893072498883,-0.6961125443376788,0.677238852087023,0.6319171526973841,0.5232357452082518,0.78930965956714
Total Request Count,0.5237180771508942,-0.19122343426623892,,0.9503616931288872,0.9289126734870324,0.9120144436102001,0.8907411277300052,0.7742962069025955,0.5381941252713353,0.14436397398011816,-0.17773853625049385,-0.4513770240601059,0.3631493940856985,0.3631493940856985,1.0,,0.9519659749370358,0.9450217633267503,-0.15771084638947241,0.37094665813961597,-0.6770498842693577,0.6291084604545614,0.7682055172056851,-0.13401546627117195,0.5336846169709274
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,0.39928138416076375,-0.31077518862959386,,0.9996701870301539,0.984654055454732,0.9600182580237163,0.9369930425451494,0.8210634799578683,0.5682002326860753,0.15183327051310744,-0.1909162376684897,-0.47006716920309666,0.24886727545356685,0.24886727545356685,0.9519659749370358,,1.0,0.9767631084601659,-0.15247213828946016,0.27766750098827,-0.5740302963063467,0.5342532012929788,0.679839832246198,-0.2562540039610552,0.4347128611636961
Total Average Response Time,0.3510319349157208,-0.39051942286394237,,0.9758969169869762,0.9880945895505598,0.9889747666943257,0.9814453459577196,0.9097846652857082,0.7031529544319025,0.3258486594539914,-0.02788875140834426,-0.38964592850880314,0.2723760652289103,0.2723760652289103,0.9450217633267503,,0.9767631084601659,1.0,-0.17866432923828432,0.3132174257556449,-0.477795932884223,0.44224974125287014,0.6037563724348567,-0.3529214368512424,0.37631811654121317
Total Min Response Time,-0.4062736623636525,-0.2739515371205656,,-0.1444333858696368,-0.17913070622739055,-0.19897232513373847,-0.21919796791339216,-0.2986316244445471,-0.3709487255729801,-0.35893991593412033,-0.3624961617542909,-0.4162506984849032,-0.6120687902205473,-0.6120687902205473,-0.15771084638947241,,-0.15247213828946016,-0.17866432923828432,1.0,-0.5392688227576203,0.3734284343429224,-0.2938451330670022,-0.28603532051478975,-0.2312474216785805,-0.3780901842649393
Total Max Response Time,0.8567617231176692,0.5895877315562637,,0.2292284630445287,0.23910688260008894,0.2505896266696802,0.2710879806744593,0.32588875371969395,0.3994564433290192,0.3704136998894816,0.28392643445952104,0.5520150666007257,0.9999893072498883,0.9999893072498883,0.37094665813961597,,0.27766750098827,0.3132174257556449,-0.5392688227576203,1.0,-0.5750996841975082,0.6846147109273769,0.6418718011349661,0.5327513258835112,0.7981037920432641
Total Average Content Size,-0.8353384900346926,-0.4706550047525924,,-0.5996862357159766,-0.5398921846534123,-0.48079192967109013,-0.44128135876913954,-0.2891788089804504,-0.10134454674757594,0.2006081917603835,0.3947887025382026,0.13795392520040595,-0.6961125443376788,-0.6961125443376788,-0.6770498842693577,,-0.5740302963063467,-0.477795932884223,0.3734284343429224,-0.5750996841975082,1.0,-0.9223946184602136,-0.9120418336624867,-0.5210556555182667,-0.8245487996604569
