Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
34,1787064224,42,,Aggregated,27.3,0.0,270.0,490.0,830.0,1100.0,1500.0,1700.0,2700.0,3500.0,5000.0,5000.0,5000.0,620,0,260,539.7870643613334,13.349990000278922,5022.231752998778,514.4725806451613,2026-08-18 14:43:52,473.0,20.0,48.0,22.0,38.0
35,1787064225,45,,Aggregated,28.7,0.0,280.0,470.0,730.0,1000.0,1500.0,1700.0,2600.0,3500.0,5000.0,5000.0,5000.0,664,0,280,524.634251298231,13.349990000278922,5022.231752998778,500.56174698795184,2026-08-18 14:43:53,473.0,20.0,172.0,24.0,39.0
36,1787064226,45,,Aggregated,29.7,0.0,260.0,430.0,700.0,900.0,1400.0,1700.0,2500.0,3200.0,5000.0,5000.0,5000.0,709,0,260,504.7777863963759,13.349990000278922,5022.231752998778,484.0211565585332,2026-08-18 14:43:54,1593.0,29.0,172.0,24.0,40.0
37,1787064227,45,,Aggregated,31.1,0.0,270.0,430.0,630.0,850.0,1300.0,1700.0,2500.0,3200.0,5000.0,5000.0,5000.0,754,0,270,495.5466930676735,13.349990000278922,5022.231752998778,470.7612732095491,2026-08-18 14:43:55,1593.0,29.0,172.0,24.0,41.0
38,1787064228,45,,Aggregated,33.5,0.0,280.0,420.0,600.0,790.0,1300.0,1600.0,2500.0,3200.0,5000.0,5000.0,5000.0,799,0,280,485.53043100753945,13.349990000278922,5022.231752998778,459.7096370463079,2026-08-18 14:43:57,1593.0,29.0,172.0,24.0,43.0
39,1787064229,45,,Aggregated,36.1,0.0,280.0,400.0,550.0,730.0,1300.0,1600.0,2500.0,3000.0,5000.0,5000.0,5000.0,846,0,280,472.6553880626861,13.349990000278922,5022.231752998778,449.7801418439717,2026-08-18 14:43:58,1593.0,29.0,172.0,24.0,44.0
40,1787064230,45,,Aggregated,38.9,0.0,260.0,380.0,530.0,720.0,1300.0,1600.0,2400.0,3000.0,5000.0,5000.0,5000.0,889,0,260,458.6020451158955,13.349990000278922,5022.231752998778,439.1889763779528,2026-08-18 14:43:59,1593.0,29.0,172.0,24.0,45.0
41,1787064231,45,,Aggregated,40.6,0.0,260.0,370.0,510.0,690.0,1300.0,1600.0,2200.0,2900.0,5000.0,5000.0,5000.0,935,0,260,447.7918843219576,13.349990000278922,5022.231752998778,429.36470588235295,2026-08-18 14:44:00,1593.0,29.0,172.0,24.0,46.0
42,1787064232,45,,Aggregated,42.5,0.0,270.0,370.0,500.0,660.0,1200.0,1600.0,2100.0,2900.0,5000.0,5000.0,5000.0,978,0,270,443.1637833384899,13.349990000278922,5022.231752998778,423.4723926380368,2026-08-18 14:44:01,1593.0,29.0,172.0,24.0,47.0
43,1787064233,45,,Aggregated,43.3,0.0,270.0,370.0,490.0,620.0,1200.0,1500.0,2000.0,2900.0,3600.0,5000.0,5000.0,1025,0,270,434.2812419093146,13.349990000278922,5022.231752998778,414.2643902439024,2026-08-18 14:44:02,1593.0,29.0,172.0,24.0,48.0
