,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
CPU,0.7023293246270884,0.572908089984674,-0.348610536674147,-0.09993354409480903,-0.08336035820630894,0.0014752263442720731,0.04926212339763786,-0.01571234855057384,-0.1702281311075686,-0.4435060931789113,-0.6548012542316483,-0.597601692378199,0.0060928312463853765,0.4246470043025542,0.915288226160142,0.9225632021516879,-0.07007564090100572,-0.0989194008020997,-0.20994795415427242,0.4367107622246611,-0.8390805230655578,1.0,0.97238994318504,0.9080361632991546,0.9886370005408971,,0.4363268956643091,-0.6434645460608798,0.3298131772884378,0.3448039491360555,-0.6225193482844995
Memory,0.7784302120412321,0.6445101356290964,-0.26514611747417205,-0.2378136681332245,-0.21620939383782156,-0.09637434725138845,-0.03149610348784947,-0.05986540692503965,-0.19143296258727946,-0.4085351991839664,-0.594949707876783,-0.470080945024884,0.12161454697508074,0.5331050734529346,0.8643658207181115,0.9152661623527574,-0.19886684393365112,-0.18596084072217817,-0.27257400771044815,0.5483998940521,-0.8485813271361388,0.97238994318504,1.0,0.856123341661922,0.9524263407831136,,0.48972537889923756,-0.6111369308948228,0.3899888801485778,0.41936086589999433,-0.669098135971611
Cache Hits,0.45892500031354966,0.21758692314684866,-0.3552326636556582,0.15293995457479223,0.2113018735229349,0.3430131821568285,0.409089329836993,0.368703745099271,0.21978508861868828,-0.1128237268308415,-0.419408339872566,-0.6302998281995974,-0.2737110752527947,0.26554892989053763,0.9998228938980267,0.7904241473085833,0.17473458648626664,0.26702921558547504,-0.13171596251819567,0.2744557929556039,-0.630081912676217,0.9080361632991546,0.856123341661922,1.0,0.944501813431808,,0.188118749136334,-0.6376263485781367,0.07794721621327586,0.19472223437769606,-0.3910216289854867
Cache Misses,0.6581278958380831,0.4950512531889954,-0.37357106069243595,-0.03424258494679084,0.0028143385699085045,0.10334940739273041,0.1561092843891678,0.09007112915388081,-0.07208592986359852,-0.3819401137443188,-0.6062507147701085,-0.6004500132908852,-0.041375322261648334,0.413907709766572,0.9504273208060309,0.9177870280763217,-0.004169961988363276,2.898685704838556e-05,-0.21123359586938317,0.42769641566647726,-0.8037070668386666,0.9886370005408971,0.9524263407831136,0.944501813431808,1.0,,0.3833777211091464,-0.657524716383607,0.27335364388806277,0.32341780632908856,-0.5612986388215732
Cache Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Hits/s,0.6771876328192828,0.7175552270166706,0.005414618932509813,-0.5262647631181231,-0.5272609258155718,-0.486468596883273,-0.47690007814246577,-0.5088548257139378,-0.5133792153486916,-0.477775364392998,-0.3991686113907045,-0.002010321850048871,0.46144621760739674,0.49554942583359235,0.1995660578579728,0.5051366775039993,-0.49501349556055235,-0.5633604281368028,-0.24374854810371735,0.5078974466920925,-0.5831988838246269,0.4363268956643091,0.48972537889923756,0.188118749136334,0.3833777211091464,,1.0,-0.19268290887512177,0.9845636322701127,0.912640706633561,-0.5816728036333707
Cache Misses/s,-0.30409139791455253,-0.226611135724658,0.34192800307760823,0.1437580119239079,0.06711650323212835,-0.04317843937702993,-0.10088893851831562,-0.10488917225295202,0.020335402863105857,0.28199619922515484,0.46399048579016533,0.4369330482207926,0.08396189944553052,-0.22246126482055817,-0.6405611399313236,-0.5642318473636486,0.14314619395223852,0.05286400250330375,-0.016272280528521477,-0.1755925009326505,0.5026395064276435,-0.6434645460608798,-0.6111369308948228,-0.6376263485781367,-0.657524716383607,,-0.19268290887512177,1.0,-0.01796139332508493,-0.2405288880921005,0.4213890351332827
Cache Requests/s,0.6357677868402021,0.6907197482638399,0.06650664429563488,-0.5113650310131195,-0.5262228306827019,-0.5044912650685798,-0.5051435714351109,-0.5384923775546969,-0.5204975451233764,-0.4368919852955504,-0.32376663064902333,0.0768532114807654,0.48630803077873,0.46579105969220236,0.08908777256857123,0.4140583857848413,-0.4788523691258636,-0.5645968575920122,-0.2512657658976932,0.48619281380212365,-0.5045846880559033,0.3298131772884378,0.3899888801485778,0.07794721621327586,0.27335364388806277,,0.9845636322701127,-0.01796139332508493,1.0,0.8870161581141831,-0.517522318339223
Cache Hit Ratio,0.5683029071213463,0.5292044313881946,0.029945292558155336,-0.54181691528946,-0.4479460025262227,-0.3295597843143896,-0.2802581880505272,-0.25347553817116797,-0.24705136876330408,-0.22021362347390594,-0.1657144516276236,0.1512161432455033,0.44186923439668707,0.5526084288440367,0.20260387830215826,0.4015499488900795,-0.5072585077019187,-0.40194914280738037,-0.27104613337011085,0.5647772679895772,-0.43724134812278553,0.3448039491360555,0.41936086589999433,0.19472223437769606,0.32341780632908856,,0.912640706633561,-0.2405288880921005,0.8870161581141831,1.0,-0.4345075398211044
Cache Avg Latency,-0.7689725853364844,-0.7824542789118932,-0.010437699369143605,0.6640546980025419,0.7233994380213702,0.5886623904630885,0.539738021067213,0.5858520167992809,0.6271014334557814,0.6418795480417702,0.6220101610658739,0.3403647099266675,-0.20337211936892824,-0.3405948978694467,-0.40255234483375796,-0.7192328755234191,0.6649551152538908,0.7149221590777818,0.00026024872746217956,-0.28265293478861125,0.8174009839376933,-0.6225193482844995,-0.669098135971611,-0.3910216289854867,-0.5612986388215732,,-0.5816728036333707,0.4213890351332827,-0.517522318339223,-0.4345075398211044,1.0
